Año;Localidades;Proyecto;Categoria;Votos;Presupuesto;Ganador_bin
2022;Florida Oeste;Jardín de Infantes Nº 905 (Provincial);Educación;238;2560000;0
2022;Florida Oeste;Biblioteca Popular Nora Bombelli;Cultura;232;4700000;0
2022;Florida Oeste;Cestos de basura;Medio Ambiente;226;2000000;0
2022;Florida Oeste;Asociación ACER (Acompañar con Educación y Responsabilidad);Educación;223;6000000;0
2022;Florida Oeste;Vergel Urbano - Parque de especies nativas (en ex Plaza Belgrano Cargas);Medio Ambiente;204;1000000;1
2022;Florida Oeste;Escuela Secundaria Nº 9;Educación;195;1930000;0
2022;Florida Oeste;Centro de Jubilados Amor y Amistad;Social;188;3150000;0
2022;Florida Oeste;Iluminando el camino en Las Flores;Reparaciones/Obra;180;6000000;0
2022;Florida Oeste;Instalación de cruce de semáforos;Movilidad;159;4188000;0
2022;Florida Oeste;Centro de Jubilados y Pensionados Un Rincón de Amigos;Social;107;250000;1
2022;Florida Oeste;Flores en Las Flores;Otros/Varios;84;6000000;0
2022;Florida Oeste;Color en Las Flores;Otros/Varios;80;6000000;0
2022;Florida Oeste;Florida Club ;Deporte;76;0;0
2022;Munro;Seguridad en el barrio;Salud;1050;4560000;1
2022;Munro;Club Unión de Munro;Deporte;642;6000000;1
2022;Munro;Escuela Primaria N° 19 (Provincial);Educación;610;4300000;1
2022;Munro;Instalación de cruce de semáforos;Movilidad;601;5772400;1
2022;Munro;Rampas en esquinas;Reparaciones/Obra;590;1810000;1
2022;Munro;Cestos de basura;Medio Ambiente;586;2000000;1
2022;Munro;Biblioteca Tecnológica Pública Ricardo Rojas;Cultura;586;6000000;1
2022;Munro;Olivos Rugby Club;Deporte;552;6000000;1
2022;Munro;Reposición de arbolado;Medio Ambiente;542;1500000;1
2022;Munro;Instalación de cruce de semáforos;Movilidad;377;5772400;0
2022;Munro;Instituto de Formación Técnica N° 77;Educación;370;6000000;0
2022;Munro;Instituto Superior de Formación Docente N° 220;Educación;367;6000000;0
2022;Munro;Escuela de Educación Especial N° 503;Educación;354;3700000;0
2022;Munro;Grupo Scout San Jorge Mártir;Social;344;780000;0
2022;Munro;Puesta en valor Munro Oeste (límite con San Martín);Otros/Varios;310;1900000;0
2022;Munro;Jardín de Infantes N° 909 (Provincial);Educación;310;970000;0
2022;Munro;Jardín de Infantes N° 910 (Provincial);Educación;309;2200000;0
2022;Munro;Instalación de cruce de semáforos;Movilidad;308;4188000;0
2022;Munro;Escuela Primaria N° 10;Educación;303;320000;0
2022;Munro;Fundación El Pobre de Asís;Social;288;6000000;0
2022;Munro;Club Social y Deportivo Vélez Sarsfield;Deporte;275;6000000;0
2022;Munro;Centro de Jubilados Gracias a la Vida;Social;271;540000;0
2022;Munro;Sociedad de Fomento Grossville;Social;259;6000000;0
2022;Munro;Agrupación Jubilados Rivadavia;Social;242;2880000;0
2022;Munro;Fundación Regenerar;Social;240;500000;0
2022;Munro;Demarcación de estacionamiento prioritario;Movilidad;229;438000;0
2022;Munro;"Federación de Clubes de Zona Norte ""Convivir""";Deporte;199;6000000;0
2022;Munro;"Punto de recolección de PET ""Botellas de Amor""";Medio Ambiente;190;200000;0
2022;Munro;Plazoleta Triangular (Echeverría y Acasusso);Espacio Público;157;6000000;0
2022;Munro;Barrio Virgen de Luján 1;Social;76;500000;0
2022;Munro;Barrio Virgen de Luján 2;Social;59;2400000;0
2022;Munro;Barrio Virgen de Luján 3;Social;58;6000000;0
2022;Carapachay;Bomberos Voluntarios de Vicente López;Seguridad;1580;6000000;1
2022;Carapachay;Seguridad en el barrio;Salud;1186;6000000;1
2022;Carapachay;Escuela Primaria Nº 18 (Provincial);Educación;1058;6000000;1
2022;Carapachay;Sociedad de Fomento Drysdale;Social;677;6000000;1
2022;Carapachay;Unión Vecinal 25 de Mayo;Social;542;6000000;0
2022;Carapachay;Centro de Jubilados Unión Fraternal;Social;519;1360000;1
2022;Carapachay;Semáforos peatonales;Movilidad;518;3284000;0
2022;Carapachay;Centro de Jubilados Luna de Otoño;Social;420;620000;1
2022;Carapachay;Reductor de velocidad;Movilidad;326;664000;1
