año;barrio;proyecto;categoria;votos;presupuesto;ganador_bin
2017;Vicente Lopez;BOMBEROS VOLUNTARIOS DE VL - Vehículo liviano de 1ª intervención (1000 lts de agua);Otros/Varios;1274.0;2684000.0;1
2017;Vicente Lopez;ISFD Nº 39 - Etapa 3 del Centro Cultural Jean Piaget;Cultura;995.0;1500000.0;1
2017;Vicente Lopez;ESCUELA SECUNDARIA Nº 6 - Remodelación de baños y pintura de pasillos;Educación;887.0;1500000.0;1
2017;Vicente Lopez;CÁMARAS DE VIGILANCIA - Conectadas al Centro de Monitoreo Municipal;Seguridad;580.0;1118030.0;1
2017;Vicente Lopez;ESCUELA PRIMARIA Nº 8 - Remodelación de 3 grupos de baños;Educación;553.0;485000.0;0
2017;Vicente Lopez;RAMPAS EN ESQUINAS - circuitos accesibles en distintas zonas del barrio;Otros/Varios;360.0;1500000.0;0
2017;Vicente Lopez;CTRO RECREATIVO DE LA 3ª EDAD - Reparación de vestuarios y cubierta sobre cancha de tejo;Deporte;263.0;1740000.0;0
2017;Vicente Lopez;CONCIENCIA AMBIENTAL - Campaña en el Paseo de la Costa;Otros/Varios;218.0;200000.0;1
2017;Vicente Lopez;CTRO RECREATIVO DE LA 3ª EDAD - Mesas, sillas y lockers de guardado;Otros/Varios;208.0;102875.0;1
2019;VILLA ADELINA;Club SUVA (Sociedades Unidas de Villa Adelina): nuevo vestuario.;Deporte;1182.0;3000000.0;1
2019;VILLA ADELINA;Jardín de Infantes Nº 907: reformar el patio de juegos.;Educación;885.0;810000.0;1
2019;VILLA ADELINA;AVAPEA (Asoc Vecinos y Amigos de la Plaza E Ader): 3º etapa del salón de usos múltiples.;Espacio Público;845.0;2500000.0;1
2019;VILLA ADELINA;Escuela de Educación Técnica Nº 1: poner en valor aulas del 1º piso. Equipos multimedia.;Educación;568.0;3000000.0;1
2019;VILLA ADELINA;Escuela Secundaria Nº 11: equipos de aire acondicionado con instalación eléctrica. Proyector e instrumentos musicales.;Educación;393.0;680000.0;1
2019;VILLA ADELINA;Seguridad del barrio: mejorar el equipamiento de tecnológico.;Seguridad;375.0;1476923.0;0
2019;VILLA ADELINA;Jardín de Infantes N° 7: sistema de climatización y tecnología.;Educación;314.0;387000.0;0
2019;VILLA ADELINA;Polideportivo de Villa Adelina: compra de un grupo electrógeno.;Deporte;229.0;1150000.0;0
2019;VILLA ADELINA;Club de Leones de Villa Adelina: 2 nuevos aires acondicionados.;Deporte;214.0;430000.0;0
2019;VILLA ADELINA;Semáforo Av. Ader y Castelli y segundero regresivo en Sgo. del Estero y Cajaraville.;Espacio Público;209.0;1526644.0;0
2019;VILLA ADELINA;Mejoremos los Puntos Verdes de residuos reciclables (puntos de reciclado automático).;Espacio Público;114.0;600000.0;0
2019;VILLA ADELINA;Manos a la masa: taller de alimentación saludable en escuelas.;Educación;92.0;180000.0;0
2019;VILLA ADELINA;Plazoleta 9 de Julio y Paraná: puesta en valor.;Espacio Público;24.0;1119000.0;0
2019;VILLA MARTELLI;Bomberos Voluntarios de Vicente López: equipamiento para el Destacamento de Villa Martelli.;Otros/Varios;2257.0;3000000.0;1
2019;VILLA MARTELLI;Club Atlético Laprida: baño para personas con movilidad reducida y reformas en la planta baja.;Deporte;1193.0;3000000.0;1
2019;VILLA MARTELLI;Cruz Roja Argentina: puesto sanitario para extracción de sangre. ;Otros/Varios;979.0;675000.0;1
2019;VILLA MARTELLI;Escuela Secundaria Nº 2: renovación de equipamiento informático. Pintura del patio. Provisión de mobiliario.;Educación;767.0;3000000.0;1
2019;VILLA MARTELLI;Jardín de Infantes Nº 918: equipamiento tecnológico;Educación;603.0;370000.0;1
2019;VILLA MARTELLI;Centro de Fomento Cultural y Deportivo Padilla: reformas en vestuarios, baños y cocina.;Cultura;596.0;3000000.0;0
2019;VILLA MARTELLI;Seguridad del barrio: mejorar el equipamiento de tecnológico.;Seguridad;501.0;3000000.0;0
2019;VILLA MARTELLI;Escuela Primaria Nº 20: espacio de usos múltiples ;Educación;436.0;3000000.0;0
2019;VILLA MARTELLI;Jardín Maternal Municipal Nº 1: material didáctico y equipamiento para la cocina.;Educación;375.0;275000.0;1
2019;VILLA MARTELLI;Centro Barrial Infantil Habana: ampliación de la sala de computación;Otros/Varios;375.0;550000.0;1
2019;VILLA MARTELLI;Fundación Camino: mejoramiento de la instalación eléctrica.;Otros/Varios;315.0;1660000.0;0
2019;VILLA MARTELLI;CEMINA Villa Martelli: cambio y relocalización de termotanques.;Otros/Varios;290.0;320000.0;1
2019;VILLA MARTELLI;Centro Barrial de Juventud Villa Martelli: acustización e insonorización de las salas de expresión y carpintería.;Otros/Varios;283.0;2850000.0;0
2019;VILLA MARTELLI;Escuela Primaria Nº 7: renovación de baños. Reparación de otras dependencias.;Educación;271.0;3000000.0;0
2019;VILLA MARTELLI;Escuela Primaria Nº 11: reparación y cambio de persianas de enrollar.;Educación;224.0;483000.0;1
2019;VILLA MARTELLI;La ecología empieza por casa: talleres de reciclaje.;Cultura;216.0;260000.0;1
2019;VILLA MARTELLI;Barrio Habana: reparación de rejas perimetrales.;Otros/Varios;200.0;3000000.0;0
2019;VILLA MARTELLI;Centro Municipal de Capacitación Laboral: renovación de baños.;Otros/Varios;193.0;2055000.0;0
2019;VILLA MARTELLI;Artistas Plásticos de Villa Martelli: mobiliario y materiales para los cursos.;Otros/Varios;192.0;175000.0;1
2019;VILLA MARTELLI;Centro de la 3 edad Unidos en Armonía: Pintura interna.;Otros/Varios;154.0;1239000.0;0
2019;VILLA MARTELLI;Rampas en esquinas para mejorar la accesibilidad.;Otros/Varios;153.0;2392500.0;0
2019;VILLA MARTELLI;Semáforos completos en Zufriategui y Bolivia.;Espacio Público;84.0;706622.0;0
2019;VILLA MARTELLI;Plazas infantiles para los niños y adolescentes (sobre Juan B. de Lasalle): renovación de juegos y mejoramiento del mobiliario.;Espacio Público;71.0;3000000.0;0
2019;VILLA MARTELLI;Reductores de velocidad Lavalle y Uruguay.;Otros/Varios;52.0;43400.0;0
2019;FLORIDA OESTE;Escuela de Educación Técnica Nº 4: reacondicionar aulas de talleres.;Educación;1032.0;3000000.0;1
2019;FLORIDA OESTE;Club Atlético Colegiales: reformas en el Gimnasio.;Deporte;842.0;3000000.0;1
2019;FLORIDA OESTE;ACER (Red CONIN): galería techada, piso y reacondicionamiento de baños para la primera infancia.;Otros/Varios;841.0;3000000.0;1
2019;FLORIDA OESTE;Club Unión Florida: generar un espacio para un nuevo gimnasio.;Deporte;708.0;3000000.0;1
2019;FLORIDA OESTE;Jardín Maternal Municipal Nº 5: equipamiento tecnológico y para la cocina.;Educación;576.0;287000.0;0
2019;FLORIDA OESTE;"Jardín de Infantes ""Conejín"" (Barrio Las Flores): renovación del patio de juegos.";Educación;513.0;1560000.0;0
2019;FLORIDA OESTE;Escuela Secundaria Básica Nº 8: cambiar puerta de ingreso, reparar filtraciones y equipamiento para las aulas.;Educación;476.0;3000000.0;0
